sperare;"mieć nadzieję
Spero che tu possa venire alla festa.
Mam nadzieję, że możesz przyjść na imprezę."
il racconto;"opowiadanie
Ho letto un bel racconto di avventura.
Przeczytałem fajną historię przygodową."
formulare;"formułować
Devi formulare meglio la tua richiesta.
Musisz lepiej sformułować swoją prośbę."
Buon Natale!;"Wesołych Świąt!
Buon Natale e felice anno nuovo!
Wesołych Świąt i Szczęśliwego Nowego Roku!"
bellissimo;"piękny
Il tramonto sul mare era bellissimo.
Zachód słońca na morzu był piękny."
vecchio;"stary
Il libro che sto leggendo è molto vecchio.
Książka, którą czytam, jest bardzo stara."
la commedia;"komedia
Stasera andiamo a vedere una commedia al teatro.
Dzisiaj idziemy zobaczyć komedię w teatrze."
napoletano;"neapolitański
Il ristorante serve piatti tipici napoletani.
Restauracja serwuje typowe neapolitańskie potrawy."
la Francia Corta;"Krótkie Francji
La Francia Corta è una regione molto pittoresca.
Krótka Francja to bardzo malowniczy region."
divertente;"zabawny
Il film che abbiamo visto ieri sera era molto divertente.
Film, który widzieliśmy zeszłej nocy, był bardzo zabawny."
l’unico;"jedyny
Lui è l’unico che può risolvere questo problema.
Jest jedynym, który może rozwiązać ten problem."
dimenticare;"zapomnieć
Non posso dimenticare il suo compleanno.
Nie mogę zapomnieć o jego urodzinach."
il galateo;"etykieta
Seguire il galateo a tavola è importante in Italia.
Po etykiecie przy stole jest ważne we Włoszech."
l’idea;"pomysł
Ho avuto un'idea geniale!
Miałem genialny pomysł!"
la pittura;"malarstwo
Mi piace la pittura impressionista.
Podoba mi się malarstwo impresjonistyczne."
memorizzare;"zapamiętywać
Devo memorizzare tutte queste informazioni per l'esame.
Muszę przechowywać wszystkie te informacje do egzaminu."
la moglie;"żona
Mia moglie è una brava cuoca.
Moja żona jest dobrym kucharzem."
cantare;"śpiewać
Mi piace cantare sotto la doccia.
Lubię śpiewać pod prysznicem."
a presto;"do zobaczenia wkrótce
Ci vediamo a presto!
Do zobaczenia wkrótce!"
